COUNTRY,ISO3,WHO_REGION,TOTAL_VACCINATIONS,TOTAL_VACCINATIONS_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Afghanistan,AFG,EMRO,1201286.0,3.0860000000000003,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",2/22/21,4.0
Algeria,DZA,AFRO,4146091.0,9.455,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",1/30/21,3.0
American Samoa,ASM,WPRO,54425.0,98.601,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/21/20,3.0
Angola,AGO,AFRO,1869933.0,5.69,SII - Covishield,3/10/21,1.0
Anguilla,AIA,AMRO,18458.0,123.037,AstraZeneca - Vaxzevria,2/5/21,1.0
Antigua and Barbuda,ATG,AMRO,72902.0,74.444,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",2/19/21,5.0
Argentina,ARG,AMRO,40961189.0,90.631,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",12/29/20,5.0
Aruba,ABW,AMRO,147211.0,137.882,"Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",2/17/21,2.0
Australia,AUS,WPRO,17150654.0,67.258,"AstraZeneca - Vaxzevria,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2/21/21,3.0
Bahamas,BHS,AMRO,129017.0,32.808,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",3/14/21,3.0
Bahrain,BHR,EMRO,2477016.0,145.572,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",11/4/20,7.0
Bangladesh,BGD,SEARO,24218796.0,14.706,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/27/21,8.0
Barbados,BRB,AMRO,198370.0,69.028,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2/10/21,4.0
Belize,BLZ,AMRO,225615.0,56.74,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/21,4.0
Benin,BEN,AFRO,120333.0,0.993,"SII - Covishield,Sinovac - CoronaVac",3/29/21,2.0
Bermuda,BMU,AMRO,84748.0,136.091,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",1/11/21,2.0
Bhutan,BTN,SEARO,1036834.0,134.373,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",3/27/21,4.0
Bolivia (Plurinational State of),BOL,AMRO,5674777.0,48.614,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",1/30/21,5.0
"Bonaire, Sint Eustatius and Saba",BES,AMRO,7391.0,28.441,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2/22/21,2.0
