COUNTRY,ISO3,WHO_REGION,TOTAL_VACCINATIONS,TOTAL_VACCINATIONS_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Afghanistan,AFG,EMRO,1201286,3.086,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",2/22/21,4
Albania,ALB,EURO,1427977,49.62,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4
Algeria,DZA,AFRO,4146091,9.455,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",1/30/21,3
American Samoa,ASM,WPRO,54425,98.601,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/21/20,3
Andorra,AND,EURO,91660,118.631,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2
Angola,AGO,AFRO,1869933,5.69,SII - Covishield,3/10/21,1
Anguilla,AIA,AMRO,18458,123.037,AstraZeneca - Vaxzevria,2/5/21,1
Antigua and Barbuda,ATG,AMRO,72902,74.444,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",2/19/21,5
Argentina,ARG,AMRO,40961189,90.631,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",12/29/20,5
Armenia,ARM,EURO,239342,8.077,"AstraZeneca - AZD1222, Sinovac - CoronaVac, Gamaleya - Sputnik V",,3
Aruba,ABW,AMRO,147211,137.882,"Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",2/17/21,2
Australia,AUS,WPRO,17150654,67.258,"AstraZeneca - Vaxzevria,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2/21/21,3
Austria,AUT,EURO,10424893,117.12,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4
Azerbaijan,AZE,EURO,6493757,64.046,"AstraZeneca - AZD1222, Sinovac - CoronaVac, Gamaleya - Sputnik V",,3
Bahamas,BHS,AMRO,129017,32.808,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",3/14/21,3
Bahrain,BHR,EMRO,2477016,145.572,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",11/4/20,7
Bangladesh,BGD,SEARO,24218796,14.706,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/27/21,8
Barbados,BRB,AMRO,198370,69.028,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2/10/21,4
Belarus,BLR,EURO,2684863,28.413,"Beijing CNBG - Inactivated, Gamaleya - Sputnik V",,2
Belgium,BEL,EURO,16040343,139.21,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4
Belize,BLZ,AMRO,225615,56.74,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/21,4
Benin,BEN,AFRO,120333,0.993,"SII - Covishield,Sinovac - CoronaVac",3/29/21,2
Bermuda,BMU,AMRO,84748,136.091,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",1/11/21,2
Bhutan,BTN,SEARO,1036834,134.373,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",3/27/21,4
Bolivia (Plurinational State of),BOL,AMRO,5674777,48.614,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",1/30/21,5
Bonaire,XAA,AMRO,28978,138.551,,,
"Bonaire, Sint Eustatius and Saba",BES,AMRO,7391,28.441,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2/22/21,2
Bosnia and Herzegovina,BIH,EURO,928126,28.289,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4
Botswana,BWA,AFRO,264978,11.268,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/26/21,4
Brazil,BRA,AMRO,177094781,83.315,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/17/21,5
British Virgin Islands,VGB,AMRO,29828,98.647,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5",2/11/21,2
Brunei Darussalam,BRN,WPRO,245549,56.128,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",4/3/21,5
Bulgaria,BGR,EURO,2286175,32.888,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4
Burkina Faso,BFA,AFRO,98670,0.472,SII - Covishield,6/2/21,1
Cabo Verde,CPV,AFRO,296476,53.324,"Pfizer BioNTech - Comirnaty,SII - Covishield",3/18/21,2
Cambodia,KHM,WPRO,17040763,101.925,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,SII - Covishield,Sinovac - CoronaVac",2/10/21,5
Cameroon,CMR,AFRO,426590,1.607,"Beijing CNBG - BBIBP-CorV,SII - Covishield",4/12/21,2
Canada,CAN,AMRO,52933914,140.251,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",12/14/20,3
Cayman Islands,CYM,AMRO,100362,152.712,Pfizer BioNTech - Comirnaty,1/15/21,1
Central African Republic,CAF,AFRO,108895,2.255,"Bharat - Covaxin,SII - Covishield",3/19/21,2
Chad,TCD,AFRO,51697,0.315,Beijing CNBG - BBIBP-CorV,6/4/21,1
Chile,CHL,AMRO,26987084,141.174,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/21/20,4
China,CHN,WPRO,1943323262,132.083,"Anhui ZL - Recombinant,Beijing CNBG - BBIBP-CorV,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",3/6/21,6
Colombia,COL,AMRO,34247170,67.306,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/17/21,5
Comoros,COM,AFRO,277419,31.902,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",4/10/21,3
